incident_id,report_year,state,district,name,location,nh_sh_affected,latitude,longitude,date_of_event,rainfall_mm,type_of_event,casualty,computed_severity,source,slide_id
1,2021,Arunachal Pradesh,West Kameng,Membachur_Garbow_ landslide,between Membachur and Garbow vilages,,27.188507,92.303984,2021-04-28,20.0,2.0,0.0,0.65,Newspaper,Newspaper/2021/Arunachal Pradesh/14
2,2021,Arunachal Pradesh,West Kameng,BCT Road Landslide,"(CT) road near Saddle, Nechiphu",,27.2676,92.43801,2021-05-05,120.0,2.0,2.0,0.75,Nwspaper,Nwspaper/2021/Arunachal Pradesh/8
3,2021,Arunachal Pradesh,Upper Siang,Pasighat_Yingkiong Landslide,Pasighat fo Vignkiong (100 kns irom Yingkong),NH52,28.206774,95.235101,2021-05-20,120.0,2.0,0.0,0.65,Online Media,Online Media/2021/Arunachal Pradesh/12
4,2021,Arunachal Pradesh,West Kameng,Nechipu_Sadsle_landslide,80;3-km between Nechiphu and Saddle,,27.208119,92.479767,2021-05-25,120.0,3.0,0.0,0.85,Nwspaper,Nwspaper/2021/Arunachal Pradesh/10
5,2021,Arunachal Pradesh,East Siang,tung Landsio,Rotung Vilage at Kebang,,28.07,95.33,2021-05-27,47.8,1.0,0.0,0.35,Online Media,Online Media/2021/Arunachal Pradesh/
6,2021,Arunachal Pradesh,Papum Pare,Papum Pare Landslide,"Near Indra Gandhi Park entry gate, Nanagar",,27.095983,93.622302,2021-05-19,120.0,3.0,0.0,0.85,Onine Meda,Onine Meda/2021/Arunachal Pradesh/
7,2021,Arunachal Pradesh,Papum Pare,Loporang Landside,Leporiang,NH1S,27.09,93.385072,2021-06-08,150.77,2.0,0.0,0.65,Online Media,Online Media/2021/Arunachal Pradesh/1
8,2021,Arunachal Pradesh,West Siang,Garu Landside,"near Gar, 25 km fom Lkaball",,27.796145,94.71936,2021-06-20,120.0,3.0,0.0,0.85,Onine Meda,Onine Meda/2021/Arunachal Pradesh/13
9,2021,Arunachal Pradesh,,Kuthong Landside,Kuthong Vilage in Trap Dstict,,26.1988,95.0961,2021-06-22,120.0,2.0,1.0,0.7,Newspaper,Newspaper/2021/Arunachal Pradesh/
10,2021,Arunachal Pradesh,East Siang,Sangam _brdge_colapse,Sangam Bridge Collapse near Pangin,,28.239722,94.9963,2021-06-27,120.0,3.0,0.0,0.85,Onine Meda,Onine Meda/2021/Arunachal Pradesh/
11,2021,Arunachal Pradesh,,Todelandside,Tode Vilage,,27.985819,94.487808,2021-07-08,73.12,2.0,0.0,0.65,Nwspaper,Nwspaper/2021/Arunachal Pradesh/7
12,2021,Arunachal Pradesh,East Siang,Sik Waterfall Lancsiao|,fowards Pangn and Aso,,28.122058,95.274842,2021-08-13,2.64,3.0,0.0,0.85,Newspaper,Newspaper/2021/Arunachal Pradesh/
13,2021,Arunachal Pradesh,West Siang,Liksbal_ Basar lands,Between Liabell and Basar,,27.09,94.721222,2021-08-13,19.05,2.0,0.0,0.65,Newspaper,Newspaper/2021/Arunachal Pradesh/
14,2021,Arunachal Pradesh,,Raga landslide,Raga headquarters,,27.794025,94.073964,2021-09-08,120.0,3.0,0.0,0.85,Newspaper,Newspaper/2021/Arunachal Pradesh/16
15,2021,Arunachal Pradesh,West Kameng,20_landsides_8CT_road,"West Kameng, Arunachal Pradesh",,27.104442,92.586072,2021-09-20,120.0,2.0,0.0,0.65,Newspaper,Newspaper/2021/Arunachal Pradesh/17
16,2021,Arunachal Pradesh,Upper Siang,Tutng_Yingkong landslide,Between Tuting and Vngkiong,,28.8496,94.740649,2024-08-12,75.21,2.0,0.0,0.65,Newspaper,Newspaper/2021/Arunachal Pradesh/
17,2023,Arunachal Pradesh,Lower Dibang Valley,Roing Anini,Roing Anini Road,NH 313,28.2333,95.7776,2023-02-24,21.31,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/1
18,2023,Arunachal Pradesh,Upper Siang,Tuting Landslide,Bomdo_Janbo_Road,NH 13,28.782138,94.860478,2023-03-24,20.0,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/6
19,2023,Arunachal Pradesh,Upper Siang,Mossing Landslide,Yingkiong_Tuting_Road,Yingkiong_Tuting_Road,28.798957,94.775709,2023-05-05,120.0,3.0,4.0,1.0,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/7
20,2023,Arunachal Pradesh,Kurung Kumey,Kurung 1,near Kurung bridge,Koloriang to Parsi Parlo road,27.894518,93.435028,2023-05-06,120.0,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/4
21,2023,Arunachal Pradesh,Kurung Kumey,Kurung 2,"Kurung Kumey, Arunachal Pradesh",Koloriang to Parsi Parlo road,27.89647,93.424103,2023-05-06,120.0,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/5
22,2023,Arunachal Pradesh,West Kameng,Tippi Landslide,Balipara-Chariduar-Tawang Road (Tippi,NH 13,27.026924,92.610166,2023-06-12,120.0,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/17
23,2023,Arunachal Pradesh,Papum Pare,Karsingsa Landslide,"NH-415, between Bandardeva and",NH-415,27.095932,93.828636,2023-06-23,120.0,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/33
24,2023,Arunachal Pradesh,Papum Pare,Puroik Landslide,"Papum Pare, Arunachal Pradesh",Nh-415,27.101535,93.671454,2023-06-23,120.0,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/34
25,2023,Arunachal Pradesh,West Kameng,Sessa Landslide,Balipara-Charduar-Tawang road,--,27.10699,92.525162,2023-06-23,120.0,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/35
26,2023,Arunachal Pradesh,West Siang,Pangin Landslide,Aalo Pangin Landslide,--,28.233721,94.930641,2023-06-23,120.0,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/36
27,2023,Arunachal Pradesh,Siang,Pangin Landslide,Pangin Pasighat road section,NH 13,28.095267,95.282822,2023-07-16,78.26,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/50
28,2023,Arunachal Pradesh,Upper Subansiri,Taliha Landslide,Donyi Colony in Taliha town,--,28.235584,94.144356,2023-07-28,76.8,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/53
29,2023,Arunachal Pradesh,Siang,"NH 13, Pangin Landslide",NH 13,NH 13,28.14251,95.269295,2023-07-28,195.07,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2023/Arunachal Pradeshh/54
