report_year,state,slide_id,slide_no,source,district,name,location,nh_sh_affected,latitude,longitude,date_of_event,time_of_event,type_of_event,casualty,rainfall_mm
2021,Arunachal Pradesh,Newspaper/2021/Arunachal Pradesh/14,14.0,Newspaper,West Kameng,Membachur_Garbow_ landslide,between Membachur and Garbow vilages,,27.188507,92.303984,2021-04-28,-,,,
2021,Arunachal Pradesh,Nwspaper/2021/Arunachal Pradesh/8,8.0,Nwspaper,West Kemeng,BCT Road Landslide,"(CT) road near Saddle, Nechiphu",,27.2676,92.43801,2021-05-05,9:30,2.0,2.0,
2021,Arunachal Pradesh,Online Media/2021/Arunachal Pradesh/12,12.0,Online Media,Upper Siang,Pasighat_Yingkiong Landslide,Pasighat fo Vignkiong (100 kns irom Yingkong),NH52,28.206774,95.235101,2021-05-20,-,2.0,,
2021,Arunachal Pradesh,Nwspaper/2021/Arunachal Pradesh/10,10.0,Nwspaper,West Kemeng,Nechipu_Sadsle_landslide,80;3-km between Nechiphu and Saddle,,27.208119,92.479767,2021-05-25,-,3.0,,
2021,Arunachal Pradesh,Online Media/2021/Arunachal Pradesh/,,Online Media,East Siang,tung Landsio,Rotung Vilage at Kebang,,,,2021-05-27,-,1.0,,47-796006
2021,Arunachal Pradesh,Onine Meda/2021/Arunachal Pradesh/,,Onine Meda,Papum Pare,,"Near Indra Gandhi Park entry gate, Nanagar",,27.095983,93.622302,2021-05-91,-,3.0,,
2021,Arunachal Pradesh,Online Media/2021/Arunachal Pradesh/1,1.0,Online Media,Papum Pare,Loporang Landside,Leporiang,NH1S,21.0,93.385072,2021-06-08,moming,,,150.76867
2021,Arunachal Pradesh,Onine Meda/2021/Arunachal Pradesh/13,13.0,Onine Meda,West Siang,Garu Landside,"near Gar, 25 km fom Lkaball",,27.796145,94.71936,2021-06-20,-,3.0,,
2021,Arunachal Pradesh,Newspaper/2021/Arunachal Pradesh/,,Newspaper,,Kuthong Landside,Kuthong Vilage in Trap Dstict,,26.1988,95.0961,2021-06-22,1:30,,1.0,
2021,Arunachal Pradesh,Onine Meda/2021/Arunachal Pradesh/,,Onine Meda,East Siang,Sangam _brdge_colapse,Sangam Bridge Collapse near Pangin,,28.239722,94.9963,2021-06-27,-,3.0,,
2021,Arunachal Pradesh,Nwspaper/2021/Arunachal Pradesh/7,7.0,Nwspaper,,Todelandside,Tode Vilage,,27.985819,94.487808,2021-07-08,-,2.0,,73121885
2021,Arunachal Pradesh,Newspaper/2021/Arunachal Pradesh/,,Newspaper,East Sang,Sik Waterfall Lancsiao|,fowards Pangn and Aso,,28.122058,95.274842,2021-08-13,1440,3.0,,2.64227
2021,Arunachal Pradesh,Newspaper/2021/Arunachal Pradesh/,,Newspaper,West Slang,Liksbal_ Basar lands,Between Liabell and Basar,,13.0,94.721222,2021-08-13,-,,,19.048726
2021,Arunachal Pradesh,Newspaper/2021/Arunachal Pradesh/16,16.0,Newspaper,,Raga landslide,Raga headquarters,,27.794025,94.073964,2021-09-08,-,3.0,,
2021,Arunachal Pradesh,Newspaper/2021/Arunachal Pradesh/17,17.0,Newspaper,West Kameng,20_landsides_8CT_road,,,27.104442,92.586072,2021-09-20,-,,,
2021,Arunachal Pradesh,Newspaper/2021/Arunachal Pradesh/,,Newspaper,Upper Siang,Tutng_Yingkong landslide,Between Tuting and Vngkiong,,28.8496,94.740649,2024-08-12,-,,,75.210088
2023,Arunachal Pradesh,Newspapers & Media/2023/Arunachal Pradeshh/1,1.0,Newspapers & Media,Lower Dibang Valley,Roing Anini,Roing Anini Road,NH 313,28.2333,95.7776,2023-02-24,--,2.0,0.0,21.31
2023,Arunachal Pradesh,Newspapers & Media/2023/Arunachal Pradeshh/6,6.0,Newspapers & Media,Upper Siang,Tuting Landslide,Bomdo_Janbo_Road,NH 13,28.78213823,94.86047758,2023-03-24,--,3.0,0.0,
